"Freq [GHz]","cang_deg(S(1,1)) [deg]","cang_deg(S(1,2)) [deg]","cang_deg(S(2,1)) [deg]","cang_deg(S(2,2)) [deg]"
0.5,-78.8740127471568,108.815176138178,108.815176138178,121.513566718069
0.6,-102.164240652167,89.4956792912624,89.4956792912623,107.387887347177
0.7,-135.783711416486,63.1057364009131,63.1057364009131,89.7907764568448
0.8,19.0975379945629,-60.5221389459154,-60.5221389459154,58.2859931953683
0.9,51.7755280666326,-224.379101894236,-224.379101894236,45.237232058134
1,183.877604252648,-327.495655988216,-327.495655988216,60.8277845457776
1.1,66.6378258204671,-394.185924292425,-394.185924292425,45.7682564281639
1.2,-52.3953146505597,-450.523064816675,-450.523064816675,50.5826719765402
1.3,-141.217528351471,-495.940049023794,-495.940049023794,49.2462510024513
1.4,-216.013422420366,-534.443379649097,-534.443379649097,46.5860808872903
1.5,-283.261072965263,-568.141329643458,-568.141329643458,45.1781385676953
1.6,-337.881791627558,-597.819222299857,-597.819222299857,40.2573485176077
1.7,-380.585946241869,-624.265333610452,-624.265333610452,30.8422266309589
1.8,-415.359901607088,-648.333788597341,-648.333788597341,18.6411646189228
1.9,-445.197141433171,-670.72948466158,-670.72948466158,5.09623355033439
2,-471.86243682581,-691.929532351184,-691.929532351184,-8.85161546566542
2.1,-496.362102409892,-712.209411715438,-712.209411715439,-22.32812784399
2.2,-519.288823075343,-731.704801566219,-731.704801566219,-33.756477025518
2.3,-541.112347406635,-750.475857426813,-750.475857426814,-36.94031066499
2.4,-381.281818048392,-768.558464195663,-768.558464195665,23.236207879482
2.5,-401.455087870862,-785.99520612248,-785.99520612248,67.3662786891345
2.6,-421.013745546002,-802.846273704678,-802.846273704678,63.7281983271478
2.7,-440.388984780436,-819.186183072545,-819.186183072545,54.6802172161959
2.8,-459.9418539983,-835.093793692634,-835.093793692634,44.9277889372005
2.9,-480.093996623977,-850.641542056492,-850.641542056492,35.7743057973865
3,-501.361342176758,-865.88734388764,-865.887343887641,27.9218642202442
3.1,-524.36441776843,-880.870659208923,-880.870659208923,21.9088176902069
3.2,-549.734131145369,-895.61293532037,-895.61293532037,18.0840457209642
3.3,-577.73281458646,-910.12172539058,-910.12172539058,16.3377046569444
3.4,-607.574010829498,-924.397059911776,-924.397059911776,15.8324166569375
3.5,-637.285597035178,-938.438253849453,-938.438253849453,15.2310834345638
3.6,-664.959739913031,-952.249457630255,-952.249457630255,13.4440101187565
3.7,-689.931581335792,-965.84288420383,-965.84288420383,10.1013573143545
3.8,-712.567040571648,-979.239481970796,-979.239481970796,5.41016441907479
3.9,-733.593976232396,-992.467520723767,-992.467520723767,-0.169516121191462
4,-753.765653971067,-1005.55991499887,-1005.55991499887,-6.10449473880737
4.1,-773.821841382081,-1018.5511394562,-1018.5511394562,-11.8077861994839
4.2,-794.592435182743,-1031.47442684484,-1031.47442684484,-16.5505244262952
4.3,-817.195875337465,-1044.35971264238,-1044.35971264238,-19.2858768685482
4.4,-843.30351033663,-1057.23257255677,-1057.23257255677,-18.4397392780999
4.5,-875.02152974447,-1070.11420548308,-1070.11420548308,-12.1919850070643
4.6,-912.499987970568,-1083.0223405173,-1083.0223405173,-0.939028598635687
4.7,-950.149341674984,-1095.97279716022,-1095.97279716022,9.83459781537855
4.8,-982.066131585915,-1108.9813253964,-1108.9813253964,15.0208480717131
4.9,-1008.08712645917,-1122.06532255225,-1122.06532255225,14.5710482751072
5,-1030.24821847608,-1135.24507223715,-1135.24507223715,10.28192223841
5.1,-1050.18120551326,-1148.5442504456,-1148.5442504456,3.59921599862407
5.2,-1068.93465571148,-1161.98954902589,-1161.98954902589,-4.55567692514066
5.3,-1087.27303480911,-1175.60934718316,-1175.60934718316,-13.5357992277582
5.4,-1106.03876689393,-1189.43144032124,-1189.43144032124,-22.667077274673
5.5,-1127.03166200384,-1203.4799978071,-1203.4799978071,-30.5901446413766
5.6,-1158.72701745197,-1217.77227567915,-1217.77227567915,-31.4911877811777
5.7,-1263.08857696689,-1232.31619667518,-1232.31619667518,32.2599640326313
5.8,-1321.10425172516,-1247.11059085881,-1247.11059085881,77.8185159580997
5.9,-1345.29293316742,-1262.15031980662,-1262.15031980662,73.2934589883837
6,-1364.48639539944,-1277.43826491075,-1277.43826491075,62.3375492547621
