Freq, re(beta_d), im(beta_d), re(bloch), im(bloch)
0.5 , 0.13091805581784377 , 0.5703427612505962 , 24.135440469546413 , 23.83797660582361
0.6 , 0.11145229001926274 , 0.45457084535254016 , 27.50647558777539 , 27.17436617865621
0.7 , 0.08413042428305148 , 0.2854752003885451 , 31.911005444014172 , 31.470904260947766
0.8 , 0.05123361013346431 , -0.02081643315270101 , 63.00054965828386 , 22.408611321711653
0.9 , 0.16870336257542798 , 0.012877686941031247 , 85.39483966266134 , 23.80339519739933
1.0 , 0.05612968208580862 , 0.013280239191966699 , 41.64786595056345 , 16.16322810484253
1.1 , 0.01597033682375593 , -0.008185472890771664 , 105.73313393726299 , 54.3433145359781
1.2 , 0.07656686612922554 , -0.005967831207677175 , 55.333875143602526 , 8.698829870869341
1.3 , 0.12502987447075198 , -0.0056019412896806675 , 48.70859645093926 , 9.124450162674357
1.4 , 0.1658110361285361 , -0.005061129185111135 , 41.23778572272308 , 10.900082703566435
1.5 , 0.19874711449693722 , 0.004899567301881167 , 26.513177766112918 , 56.57730737021165
1.6 , 0.16777198278541627 , 0.0050709186435881 , 68.44871315520399 , 7.0128877135541146
1.7 , 0.14038768918562508 , 0.005144118834671734 , 59.33132648702964 , 5.895985014906618
1.8 , 0.11564518459152183 , 0.004888537131443837 , 56.381870964968996 , 5.626539667456232
1.9 , 0.09276122462659388 , 0.004339335103245522 , 54.851779560847945 , 5.42395026506703
2.0 , 0.07120565794061003 , 0.003662547253477737 , 53.87513176515581 , 5.269618341882509
2.1 , 0.05067236388401741 , 0.0030348954671649744 , 53.17110902335898 , 5.198222281896828
2.2 , 0.031010553649948012 , 0.0025770380823403167 , 52.615598665177956 , 5.319328888966375
2.3 , 0.012153350681934929 , 0.0023319775615712863 , 52.199858395818126 , 6.379357340327427
2.4 , 0.005939156349332337 , -0.002275299035568045 , 54.189431079797316 , 0.7587896904953488
2.5 , 0.023314324220693957 , -0.0023424153190763947 , 52.05721827942227 , 3.0184367309181863
2.6 , 0.04003907349502486 , -0.002458450184176456 , 51.62437240354783 , 3.2959079600067334
2.7 , 0.05619624293340976 , -0.0025609487469232754 , 51.3032981339722 , 3.327746470477305
2.8 , 0.07187349757579643 , -0.0026118074356393695 , 50.997386857360276 , 3.285580897128202
2.9 , 0.08715136567944783 , -0.002599351532923156 , 50.67150215452929 , 3.216153561460005
3.0 , 0.10209424066787344 , -0.002533440636787929 , 50.29898810816493 , 3.14039672068368
3.1 , 0.11674600847707843 , -0.0024367790935857295 , 49.84900472784407 , 3.0724597984723796
3.2 , 0.13113053924810963 , -0.0023353094410153256 , 49.27474094049178 , 3.026939962067396
3.3 , 0.1452562630440087 , -0.0022500855160552517 , 48.49004346295283 , 3.0268564716664392
3.4 , 0.15912324876200656 , -0.002192298397185374 , 47.305652409199084 , 3.124498091330567
3.5 , 0.1727307671717845 , -0.002162100942696948 , 45.19697876889898 , 3.489882225450953
3.6 , 0.18608345824420938 , -0.002150756242775533 , 39.96499049232781 , 5.1225445552285995
3.7 , 0.19919491637120984 , -0.002144811615765414 , 24.435568178430383 , 39.17757135078021
3.8 , 0.1879115623048085 , 0.0021307429147582133 , 68.51847101445071 , 3.18103628028389
3.9 , 0.1752045513952893 , 0.0020987894026929773 , 58.399552468704655 , 1.5641753123208593
4.0 , 0.16264746860345358 , 0.002045245683731764 , 55.34213132450639 , 1.4310427679457287
4.1 , 0.15020200331637965 , 0.0019730167221388606 , 53.74911794682267 , 1.384090429368896
4.2 , 0.13783123016523585 , 0.001890625916622099 , 52.68834632417668 , 1.3430380407800633
4.3 , 0.12550189289605415 , 0.001810081562364045 , 51.8691272241488 , 1.2990064094762888
4.4 , 0.11318558500937438 , 0.0017441064984272667 , 51.16805652596484 , 1.2515811545319695
4.5 , 0.10085876873139828 , 0.001703269375708197 , 50.51916993497827 , 1.2015231037375436
4.6 , 0.08850176720460456 , 0.0016935422207327566 , 49.877510850492406 , 1.1499757819439336
4.7 , 0.07609703086163508 , 0.0017147420256800657 , 49.20195381868783 , 1.098915773473002
4.8 , 0.0636270927798215 , 0.0017601876207716785 , 48.44088595939239 , 1.0523874888490956
4.9 , 0.05107266090171735 , 0.0018177279902978124 , 47.50845249822797 , 1.0197581161524205
5.0 , 0.0384112412327411 , 0.0018721008561104118 , 46.2214405646423 , 1.027022918973708
5.1 , 0.02561657526445894 , 0.001908383755339331 , 44.05960361476648 , 1.1736741724812816
5.2 , 0.012659058066192823 , 0.0019161055396723164 , 38.61624625378974 , 2.2083406763913516
5.3 , 0.0004927859156452086 , -0.0018933772672949485 , 29.536609531356547 , 47.66921465447813
5.4 , 0.013869779685517536 , -0.001850171864380476 , 60.560800283079445 , 2.349766436698553
5.5 , 0.027498713797819558 , -0.001809678655823148 , 53.82354615403606 , 0.827475567252312
5.6 , 0.041398694191794067 , -0.0018066116899917498 , 51.3368952660129 , 0.5138100309035576
5.7 , 0.05557845373080588 , -0.0018816650987325797 , 49.836742720631825 , 0.3585029166159637
5.8 , 0.07003661997475778 , -0.002072196674084353 , 48.68519816937157 , 0.24816758121047414
5.9 , 0.08476740913903782 , -0.0024007794643226238 , 47.65988748693565 , 0.15956255686934848
6.0 , 0.09977394685356283 , -0.0028655369678686 , 46.64841678389194 , 0.0909855308119186
